,Color,Runtime,Director Facebook Likes,Actor 1 Facebook Likes,Genres,Title,Number of Voted Users,Cast Total Facebook Likes,Language,Country,Content Rating,Year,IMDb Score,Movie Facebook Likes
1223,Color,82.0,160.0,164000.0,Horror,The Final Destination ,75345,303717,English,USA,R,2009,5.2,0
640,Color,117.0,44.0,788.0,Action|Drama|History|Thriller,The Finest Hours ,27481,3524,English,USA,PG-13,2016,6.8,12000
1151,Color,154.0,521.0,10000.0,Drama|Mystery|Thriller,The Firm ,88844,14244,English,USA,R,1993,6.8,0
1599,Color,103.0,37.0,944.0,Comedy,The First Wives Club ,31817,3143,English,USA,PG,1996,6.2,0
2027,Color,137.0,0.0,12000.0,Comedy|Drama|Fantasy,The Fisher King ,63274,12947,English,USA,R,1991,7.6,12000
1680,Color,131.0,89.0,2000.0,Comedy|Romance,The Five-Year Engagement ,78974,3479,English,USA,R,2012,6.2,11000
818,Color,90.0,32.0,1000.0,Comedy|Family|Romance|Sci-Fi,The Flintstones in Viva Rock Vegas ,15517,6299,English,USA,PG,2000,3.6,500
1073,Color,91.0,32.0,924.0,Comedy|Family|Fantasy,The Flintstones ,60884,3244,English,USA,PG,1994,4.8,0
3636,Color,104.0,324.0,173.0,Drama,The Flower of Evil ,2591,282,French,France,R,2003,6.6,52
327,Color,146.0,611.0,23000.0,Drama|History|Romance|War,The Flowers of War ,38690,23240,Mandarin,China,R,2011,7.6,13000
4532,Color,89.0,0.0,2000.0,Fantasy|Horror,The Fog ,46493,4878,English,USA,R,1980,6.8,7000
864,Color,104.0,50.0,5000.0,Action|Adventure|Fantasy,The Forbidden Kingdom ,88049,7247,English,USA,PG-13,2008,6.6,0
3199,Color,93.0,4.0,533.0,Horror|Mystery|Thriller,The Forest ,20837,578,English,USA,PG-13,2016,4.8,10000
3761,Color,90.0,23.0,847.0,Horror|Thriller,The Forsaken ,7319,3004,English,USA,R,2001,5.3,327
1514,Color,96.0,0.0,20000.0,Drama|Sci-Fi,The Fountain ,190990,24640,English,USA,PG-13,2006,7.3,23000
1477,Color,125.0,159.0,3000.0,Adventure|Drama|Romance|War,The Four Feathers ,28130,3142,English,UK,PG-13,2002,6.5,0
3558,Color,107.0,0.0,804.0,Comedy|Drama,The Four Seasons ,3157,1285,English,USA,PG,1981,7.2,337
3134,Color,98.0,58.0,14000.0,Mystery|Sci-Fi|Thriller,The Fourth Kind ,63108,15251,English,USA,PG-13,2009,5.9,15000
4226,Color,104.0,607.0,813.0,Action|Crime|Drama|Thriller,The French Connection ,82476,1196,English,USA,R,1971,7.8,0
3897,Color,105.0,0.0,597.0,Comedy|Drama|Romance,The Front Page ,9007,1218,English,USA,PG,1974,7.3,661
2353,Color,105.0,17.0,12000.0,Crime|Drama|Mystery|Thriller,The Frozen Ground ,43879,16355,English,USA,R,2013,6.4,11000
4881,Color,95.0,7.0,236.0,Horror|Thriller,The Frozen ,1488,537,English,USA,PG-13,2012,4.4,519
1138,Color,130.0,99.0,11000.0,Action|Adventure|Crime|Drama|Mystery|Thriller,The Fugitive ,213668,13357,English,USA,PG-13,1993,7.8,0
4565,Color,91.0,11.0,1000.0,Comedy|Drama|Music,The Full Monty ,82232,2323,English,UK,R,1997,7.2,0
2909,Color,99.0,220.0,812.0,Crime|Drama,The Funeral ,6921,3337,English,USA,R,1996,6.6,344
4956,Color,81.0,3.0,220.0,Horror|Thriller,The Gallows ,13521,276,English,USA,R,2015,4.2,0
4118,Color,111.0,81.0,3000.0,Crime|Drama|Thriller,The Gambler ,48562,3784,English,USA,R,2014,6.0,0
2085,Color,110.0,99.0,12000.0,Comedy|Family|Sport,The Game Plan ,44021,15170,English,USA,PG,2007,6.2,0
2335,Color,101.0,25.0,18000.0,Drama|History|Sport,The Game of Their Lives ,2613,20354,English,USA,PG,2005,6.2,445
975,Color,129.0,21000.0,495.0,Drama|Mystery|Thriller,The Game ,261069,1397,English,USA,R,1997,7.8,25000
4416,Color,101.0,4.0,0.0,Documentary|War,The Gatekeepers ,4547,0,Hebrew,Israel,PG-13,2012,7.6,0
718,Color,116.0,165.0,577.0,Drama|Mystery|Thriller,The General's Daughter ,42705,2321,English,USA,R,1999,6.3,885
3957,Color,120.0,0.0,114.0,Adventure|Drama,The Geographer Drank His Globe Away ,2488,183,Russian,Russia,Not Rated,2013,7.5,282
4333, Black and White,106.0,5.0,416.0,Comedy|Fantasy|Musical|Sci-Fi,The Ghastly Love of Johnny X ,344,1611,English,USA,Not Rated,2012,5.7,655
1126,Color,128.0,2000.0,854.0,Mystery|Thriller,The Ghost Writer ,132423,2507,English,France,PG-13,2010,7.2,15000
869,Color,110.0,81.0,1000.0,Adventure|Drama|Horror|Thriller,The Ghost and the Darkness ,46239,1752,English,USA,R,1996,6.8,0
3158,Color,108.0,0.0,1000.0,Mystery|Thriller,The Gift ,79909,3215,English,USA,R,2015,7.1,15000
1963,Color,110.0,42.0,355.0,Comedy|Drama|Romance,The Girl Next Door ,171151,911,English,USA,R,2004,6.8,0
3321,Color,105.0,25.0,963.0,Drama,The Girl on the Train ,1219,1375,French,France,Not Rated,2009,6.0,120
364,Color,158.0,21000.0,18000.0,Crime|Drama|Mystery|Thriller,The Girl with the Dragon Tattoo ,330152,20388,English,USA,R,2011,7.8,54000
1920, Black and White,97.0,176.0,12000.0,Drama|Romance|Sci-Fi,The Giver ,86251,36064,English,South Africa,PG-13,2014,6.5,58000
2106,Color,106.0,12.0,962.0,Crime|Drama|Mystery|Thriller,The Glass House ,25462,4239,English,USA,PG-13,2001,5.8,804
1117,Color,91.0,29.0,2000.0,Action|Comedy|Crime|Drama|Thriller,The Glimmer Man ,15455,3855,English,USA,R,1996,5.3,451
895,Color,170.0,0.0,14000.0,Crime|Drama,The Godfather: Part III ,267980,16949,English,USA,R,1990,7.6,0
2837,Color,220.0,0.0,22000.0,Crime|Drama,The Godfather: Part II ,790926,39960,English,USA,R,1974,9.0,14000
3466,Color,175.0,0.0,14000.0,Crime|Drama,The Godfather ,1155770,28122,English,USA,R,1972,9.2,43000
2920,Color,94.0,23.0,400.0,Action|Adventure|Comedy|Fantasy|Mystery,The Golden Child ,39798,1044,English,USA,PG-13,1986,5.9,0
24,Color,113.0,129.0,16000.0,Adventure|Family|Fantasy,The Golden Compass ,149019,24106,English,USA,PG-13,2007,6.1,0
55,Color,93.0,113.0,275.0,Adventure|Animation|Comedy|Family|Fantasy,The Good Dinosaur ,62836,696,English,USA,PG,2015,6.8,20000
1569, Black and White,105.0,0.0,845.0,Drama|Mystery|Thriller,The Good German ,21481,2355,English,USA,R,2006,6.1,559
3384,Color,93.0,44.0,15000.0,Drama|Romance,The Good Girl ,37952,27646,English,USA,R,2002,6.5,938
3236,Color,90.0,0.0,806.0,Comedy|Romance,The Good Guy ,7759,3124,English,USA,R,2009,5.9,1000
3979,Color,99.0,29.0,117.0,Drama,The Good Heart ,3579,298,English,Iceland,R,2009,6.9,0
2747,Color,93.0,17.0,1000.0,Comedy|Drama|Fantasy|Music|Romance,The Good Night ,7519,1245,English,USA,R,2007,5.9,445
1717,Color,109.0,277.0,2000.0,Action|Crime|Drama|Romance|Thriller,The Good Thief ,9004,2759,English,France,R,2002,6.6,287
4498,Color,142.0,0.0,16000.0,Western,"The Good, the Bad and the Ugly ",503509,16089,Italian,Italy,Approved,1966,8.9,20000
3255,Color,135.0,419.0,398.0,Action|Adventure|Comedy|Western,"The Good, the Bad, the Weird ",26156,569,Korean,South Korea,R,2008,7.3,0
3153,Color,89.0,23.0,839.0,Comedy,"The Goods: Live Hard, Sell Hard ",17790,3973,English,USA,R,2009,5.8,0
4900,Color,101.0,0.0,77000.0,Drama,The Grace Card ,2099,77046,English,USA,PG-13,2010,6.4,0
1578,Color,99.0,0.0,13000.0,Adventure|Comedy|Crime|Drama,The Grand Budapest Hotel ,475518,15082,English,USA,R,2014,8.1,149000
1344,Color,122.0,0.0,643.0,Action|Biography|Drama,The Grandmaster ,24557,943,Mandarin,Hong Kong,PG-13,2013,6.5,13000
2992,Color,172.0,667.0,211.0,Drama,The Great Beauty ,55516,456,Italian,Italy,Not Rated,2013,7.7,29000
2652,Color,126.0,18000.0,18000.0,Biography|Drama,The Great Debaters ,47626,22745,English,USA,PG-13,2007,7.6,0
3903,Color,172.0,120.0,773.0,Adventure|Drama|History|Thriller|War,The Great Escape ,165638,1785,English,USA,Approved,1963,8.3,8000
50,Color,143.0,1000.0,29000.0,Drama|Romance,The Great Gatsby ,362912,29770,English,Australia,PG-13,2013,7.3,115000
811, Black and White,132.0,131.0,11000.0,Action|Drama|War,The Great Raid ,18209,12133,Filipino,USA,R,2005,6.7,0
3632, Black and White,110.0,735.0,187.0,Adventure|Crime|Drama|Thriller,The Great Train Robbery ,11623,297,English,UK,PG,1979,7.0,643
1958,Color,120.0,0.0,577.0,Drama|History|Sport,The Greatest Game Ever Played ,22289,1217,English,USA,PG,2005,7.5,0
4366,Color,90.0,293.0,16000.0,Comedy|Documentary,The Greatest Movie Ever Sold ,13223,32405,English,USA,PG-13,2011,6.6,0
3890,Color,152.0,309.0,232.0,Drama|Family|Romance,The Greatest Show on Earth ,9456,825,English,USA,Not Rated,1952,6.7,625
2266,Color,225.0,126.0,940.0,Biography|Drama|History,The Greatest Story Ever Told ,6484,1934,English,USA,G,1965,6.6,1000
3637,Color,96.0,19.0,1000.0,Drama|Romance,The Greatest ,7394,2163,English,USA,R,2009,6.7,0
259,Color,119.0,1000.0,11000.0,Action|Comedy|Crime|Sci-Fi|Thriller,The Green Hornet ,136019,13391,English,USA,PG-13,2011,5.8,14000
4551,Color,100.0,0.0,640.0,Adventure|Horror,The Green Inferno ,21468,2082,English,USA,R,2013,5.4,12000
712,Color,189.0,0.0,15000.0,Crime|Drama|Fantasy|Mystery,The Green Mile ,782610,17716,English,USA,R,1999,8.5,30000
1900,Color,117.0,248.0,14000.0,Action|Adventure|Drama|Thriller,The Grey ,203111,16606,English,USA,R,2011,6.8,32000
2196,Color,137.0,70.0,4000.0,Horror|Thriller,The Grudge 2 ,38658,5746,English,USA,PG-13,2006,5.0,930
3103,Color,98.0,70.0,4000.0,Horror|Mystery|Thriller,The Grudge ,115050,7461,English,USA,PG-13,2004,5.9,4000
3616,Color,96.0,51.0,3000.0,Comedy|Crime|Thriller,The Guard ,64794,3569,English,Ireland,R,2011,7.3,17000
1255,Color,95.0,98.0,405.0,Comedy|Drama,The Guilt Trip ,30394,1070,English,USA,PG-13,2012,5.8,0
1317,Color,115.0,180.0,1000.0,Action|Crime|Drama|Mystery|Thriller,The Gunman ,28429,1686,English,USA,R,2015,5.8,0
3061,Color,94.0,18.0,658.0,Comedy|Music|Romance,The Guru ,13622,1559,English,UK,R,2002,5.4,550
4702,Color,71.0,0.0,1000.0,Documentary,The Hadza: Last of the First ,5,1359,English,USA,Not Rated,2014,7.4,5
4648,Color,88.0,0.0,465.0,Comedy|Romance|Sport,The Hammer ,5489,897,English,USA,R,2007,7.3,337
440,Color,102.0,480.0,14000.0,Comedy,The Hangover Part II ,375879,16143,English,USA,R,2011,6.5,56000
1397,Color,108.0,480.0,14000.0,Comedy,The Hangover ,583341,17623,English,USA,R,2009,7.8,24000
745,Color,91.0,0.0,11000.0,Sci-Fi|Thriller,The Happening ,163130,13654,English,USA,R,2008,5.0,6000
4720,Color,80.0,6.0,0.0,Documentary,The Harvest/La Cosecha ,57,0,English,USA,Not Rated,2011,7.2,88
706,Color,187.0,16000.0,46000.0,Crime|Drama|Mystery|Thriller|Western,The Hateful Eight ,272839,49912,English,USA,R,2015,7.9,114000
374,Color,88.0,50.0,691.0,Comedy|Family|Fantasy|Horror|Mystery,The Haunted Mansion ,32049,2622,English,USA,PG,2003,4.9,988
3341,Color,101.0,14.0,1000.0,Drama|Horror|Mystery|Thriller,The Haunting in Connecticut 2: Ghosts of Georgia ,13167,3164,English,USA,R,2013,5.3,0
3742,Color,82.0,7.0,1000.0,Drama|Horror|Thriller,The Haunting of Molly Hartley ,7904,4856,English,USA,PG-13,2008,3.8,562
465,Color,113.0,101.0,14000.0,Fantasy|Horror|Mystery|Thriller,The Haunting ,58184,17786,English,USA,PG-13,1999,4.9,0
3529,Color,96.0,5.0,766.0,Drama|Romance,The Heart of Me ,1966,1251,English,UK,R,2002,6.7,97
1159,Color,123.0,176.0,975.0,Action|Comedy|Crime,The Heat ,133177,4825,English,USA,R,2013,6.6,24000
4470, Black and White,87.0,4.0,2000.0,Comedy,The Hebrew Hammer ,4182,6227,English,USA,R,2003,6.2,3000
4605,Color,97.0,0.0,639.0,Action|Adventure|Comedy|Fantasy|Sci-Fi,The Helix... Loaded ,534,1188,English,USA,R,2005,1.9,128
1875,Color,146.0,150.0,15000.0,Drama,The Help ,318955,23227,English,USA,PG-13,2011,8.1,75000
2670,Color,89.0,7.0,919.0,Horror,The Hills Have Eyes II ,49721,2559,English,USA,R,2007,5.1,0
2502,Color,108.0,192.0,1000.0,Horror,The Hills Have Eyes ,129719,4500,English,USA,R,2006,6.4,0
3980,Color,109.0,13.0,3000.0,Comedy|Drama,The History Boys ,17770,5977,English,UK,R,2006,6.9,0
3649,Color,90.0,58.0,848.0,Action|Thriller,The Hit List ,10196,3469,English,USA,R,2011,5.4,0
1101,Color,109.0,37.0,11000.0,Adventure|Comedy|Sci-Fi,The Hitchhiker's Guide to the Galaxy ,155745,14073,English,USA,PG,2005,6.8,10000
1987,Color,116.0,529.0,442.0,Comedy|Drama,The Hoax ,14581,1134,English,USA,R,2006,6.7,348
99,Color,182.0,0.0,5000.0,Adventure|Fantasy,The Hobbit: An Unexpected Journey ,637246,9152,English,USA,PG-13,2012,7.9,166000
20,Color,164.0,0.0,5000.0,Adventure|Fantasy,The Hobbit: The Battle of the Five Armies ,354228,9152,English,New Zealand,PG-13,2014,7.5,65000
23,Color,186.0,0.0,5000.0,Adventure|Fantasy,The Hobbit: The Desolation of Smaug ,483540,9152,English,USA,PG-13,2013,7.9,83000
3457,Color,92.0,287.0,844.0,Adventure|Fantasy|Thriller,The Hole ,19157,4099,English,USA,PG-13,2009,5.7,0
408,Color,138.0,278.0,14000.0,Comedy|Romance,The Holiday ,182757,17423,English,USA,PG-13,2006,6.9,19000
4450,Color,106.0,33.0,341.0,Drama,The Holy Girl ,2720,358,Spanish,Argentina,R,2004,6.7,57
2592,Color,122.0,0.0,883.0,Drama|Western,The Homesman ,21370,2896,English,USA,R,2014,6.6,0
4641,Color,97.0,171.0,1000.0,Horror,The Horror Network Vol. 1 ,139,1343,English,USA,Not Rated,2015,7.3,52
4933,Color,93.0,0.0,58.0,Documentary,The Horse Boy ,586,62,English,USA,Not Rated,2009,7.4,0
735,Color,170.0,0.0,19000.0,Drama|Romance|Western,The Horse Whisperer ,32353,20683,English,USA,PG-13,1998,6.5,0
1505,Color,135.0,22.0,837.0,Adventure|Drama|Romance|War,The Horseman on the Roof ,4885,1508,French,France,R,1995,7.1,262
2988,Color,110.0,584.0,629.0,Comedy|Drama|Horror|Sci-Fi,The Host (2006),68883,1173,Korean,South Korea,R,2006,7.0,7000
1002,Color,125.0,487.0,430.0,Action|Adventure|Romance|Sci-Fi|Thriller,The Host (2013),92461,1300,English,USA,PG-13,2013,5.9,43000
3442,Color,109.0,62.0,584.0,Comedy|Drama|Romance,The Hotel New Hampshire ,6595,2024,English,UK,R,1984,6.0,345
1925,Color,114.0,335.0,11000.0,Drama|Romance,The Hours ,102123,12624,English,USA,PG-13,2002,7.6,0
1917,Color,97.0,29.0,15000.0,Comedy|Romance,The House Bunny ,63969,18789,English,USA,PG-13,2008,5.5,0
3194,Color,135.0,25.0,902.0,Drama|Romance,The House of Mirth ,6377,2735,English,UK,PG,2000,7.1,345
4594,Color,95.0,243.0,969.0,Horror,The House of the Devil ,30160,3833,English,USA,R,2009,6.4,0
4536,Color,91.0,287.0,1000.0,Horror,The Howling ,22773,4438,English,USA,R,1981,6.6,0
1322, Black and White,111.0,0.0,1000.0,Comedy|Fantasy,The Hudsucker Proxy ,65474,2612,English,UK,PG,1994,7.3,0
297,Color,91.0,21.0,2000.0,Animation|Drama|Family|Musical|Romance,The Hunchback of Notre Dame ,102933,4842,English,USA,G,1996,6.9,0
2089,Color,122.0,529.0,820.0,Comedy|Drama,The Hundred-Foot Journey ,52894,1484,English,USA,PG,2014,7.3,55000
186,Color,146.0,508.0,34000.0,Adventure|Sci-Fi|Thriller,The Hunger Games: Catching Fire ,498397,49355,English,USA,PG-13,2013,7.6,82000
207,Color,123.0,508.0,34000.0,Adventure|Sci-Fi|Thriller,The Hunger Games: Mockingjay - Part 1 ,305008,81385,English,USA,PG-13,2014,6.7,52000
103,Color,137.0,508.0,34000.0,Adventure|Sci-Fi,The Hunger Games: Mockingjay - Part 2 ,166137,81385,English,USA,PG-13,2015,6.6,38000
439,Color,142.0,378.0,34000.0,Adventure|Drama|Sci-Fi|Thriller,The Hunger Games ,701607,49942,English,USA,PG-13,2012,7.3,140000
1593,Color,135.0,323.0,826.0,Action|Adventure|Thriller,The Hunt for Red October ,143696,2575,English,USA,PG,1990,7.6,0
872,Color,94.0,607.0,933.0,Action|Crime|Drama|Thriller,The Hunted ,35830,2248,English,USA,R,2003,6.0,0
1321,Color,101.0,47.0,499.0,Adventure|Comedy|Drama|Romance|Thriller|War,The Hunting Party ,22010,504,English,USA,R,2007,6.9,0
244,Color,120.0,19.0,26000.0,Action|Adventure|Drama|Fantasy,The Huntsman: Winter's War ,37750,46719,English,USA,PG-13,2016,6.1,16000
4033,Color,115.0,346.0,74.0,Drama,The Hunt ,170155,216,Danish,Denmark,R,2012,8.3,60000
1348, Black and White,146.0,278.0,18000.0,Biography|Drama|Sport,The Hurricane ,76016,20516,English,USA,R,1999,7.6,0
2680,Color,131.0,0.0,10000.0,Drama|History|Thriller|War,The Hurt Locker ,332065,11114,English,USA,R,2008,7.6,16000
4261, Black and White,134.0,31.0,654.0,Drama|Sport,The Hustler ,62860,2290,English,USA,Not Rated,1961,8.0,0
3325,Color,90.0,3.0,1000.0,Mystery|Sci-Fi|Thriller,The I Inside ,9296,2310,English,UK,R,2004,6.1,458
3304,Color,91.0,12.0,1000.0,Action|Adventure|Comedy|Romance|Sci-Fi,The Ice Pirates ,7767,1991,English,USA,PG,1984,5.7,0
2442,Color,112.0,0.0,805.0,Drama,The Ice Storm ,46396,1466,English,USA,R,1997,7.5,0
3206,Color,106.0,34.0,11000.0,Biography|Crime|Drama,The Iceman ,55567,23187,English,USA,R,2012,6.9,20000
2055,Color,101.0,0.0,33000.0,Drama,The Ides of March ,188652,57077,English,USA,R,2011,7.1,22000
2523,Color,110.0,168.0,3000.0,Drama|Mystery|Romance|Thriller,The Illusionist ,295375,4210,English,USA,PG-13,2006,7.6,15000
4994,Color,81.0,3.0,26.0,Biography|Documentary,The Image Revolution ,66,70,English,USA,Not Rated,2014,7.4,83
1708,Color,123.0,0.0,10000.0,Adventure|Fantasy|Mystery,The Imaginarium of Doctor Parnassus ,126307,11769,English,UK,PG-13,2009,6.8,19000
2614,Color,114.0,77.0,19000.0,Biography|Drama|Thriller|War,The Imitation Game ,467613,20295,English,UK,PG-13,2014,8.1,165000
2582,Color,120.0,115.0,10000.0,Drama|Romance,The Immigrant ,20616,11019,English,USA,R,2013,6.6,0
2709,Color,97.0,32.0,14000.0,Comedy|Drama|Romance,The Importance of Being Earnest ,18966,16502,English,UK,PG,2002,6.9,0
1293,Color,114.0,171.0,6000.0,Drama|Thriller,The Impossible ,145270,7099,English,Spain,PG-13,2012,7.6,54000
2718, Black and White,105.0,52.0,477.0,Drama|Mystery|Thriller,The In Crowd ,3668,2312,English,USA,PG-13,2000,4.6,157
1566,Color,100.0,35.0,12000.0,Comedy,The Incredible Burt Wonderstone ,60596,32094,English,USA,PG-13,2013,5.9,13000
176,Color,135.0,255.0,3000.0,Action|Adventure|Sci-Fi,The Incredible Hulk ,326286,5811,English,USA,PG-13,2008,6.8,0
349,Color,115.0,663.0,1000.0,Action|Adventure|Animation|Family,The Incredibles ,479166,1901,English,USA,PG,2004,8.0,0
4856,Color,94.0,4.0,360.0,Comedy|Drama|Romance,The Incredibly True Adventure of Two Girls in Love ,3513,656,English,USA,R,1995,6.5,423
1107,Color,96.0,0.0,1000.0,Drama|Family|Fantasy,The Indian in the Cupboard ,20688,2965,English,USA,PG,1995,5.9,0
1071,Color,127.0,65.0,788.0,Biography|Crime|Drama|Thriller,The Infiltrator ,2581,2104,English,UK,R,2016,7.3,0
2095,Color,108.0,0.0,13000.0,Comedy|Crime|Drama|Thriller,The Informant! ,52888,16031,English,USA,R,2009,6.5,0
2465,Color,98.0,34.0,663.0,Crime|Drama|Thriller,The Informers ,14324,2215,English,Germany,R,2008,5.1,1000
3390,Color,110.0,10.0,851.0,Comedy|Drama|Romance,The Inkwell ,1103,3293,English,USA,R,1994,6.5,160
4680,Color,101.0,243.0,969.0,Horror,The Innkeepers ,27260,1252,English,USA,R,2011,5.5,0
639,Color,157.0,0.0,14000.0,Biography|Drama|Thriller,The Insider ,133526,18216,English,USA,R,1999,7.9,0
1005,Color,118.0,670.0,6000.0,Action|Crime|Drama|Mystery|Thriller,The International ,80196,7654,English,USA,R,2009,6.5,0
823,Color,125.0,189.0,1000.0,Comedy,The Internship ,159931,5081,English,USA,PG-13,2013,6.3,22000
1209,Color,121.0,278.0,22000.0,Comedy|Drama,The Intern ,130661,36010,English,USA,PG-13,2015,7.2,54000
377,Color,128.0,521.0,591.0,Crime|Mystery|Thriller,The Interpreter ,86152,2100,Aboriginal,UK,PG-13,2005,6.4,0
1173,Color,112.0,133.0,11000.0,Comedy,The Interview ,247020,12239,English,USA,R,2014,6.6,50000
517,Color,99.0,101.0,1000.0,Sci-Fi|Thriller,The Invasion ,65037,2323,English,USA,PG-13,2007,5.9,0
2390,Color,100.0,0.0,3000.0,Comedy|Fantasy|Romance,The Invention of Lying ,94292,7252,English,USA,PG-13,2009,6.4,13000
1008,Color,90.0,663.0,14000.0,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,The Iron Giant ,128455,16358,English,USA,PG,1999,8.0,0
2781,Color,105.0,58.0,11000.0,Biography|Drama|History,The Iron Lady ,82327,12894,English,UK,PG-13,2011,6.4,18000
1276,Color,99.0,287.0,10000.0,Horror|Sci-Fi|Thriller,The Island of Dr. Moreau ,26051,10469,English,USA,PG-13,1996,4.4,0
280,Color,136.0,0.0,19000.0,Action|Adventure|Romance|Sci-Fi|Thriller,The Island ,263329,34839,English,USA,PG-13,2005,6.9,0
724,Color,111.0,473.0,26000.0,Action|Crime|Thriller,The Italian Job ,285623,35084,English,USA,PG-13,2003,7.0,0
753,Color,124.0,105.0,24000.0,Action|Adventure|Crime|Thriller,The Jackal ,88225,38227,English,USA,R,1997,6.3,0
1746,Color,94.0,11.0,1000.0,Drama|Mystery|Sci-Fi|Thriller,The Jacket ,92850,5085,English,USA,R,2005,7.1,0
3240,Color,85.0,7.0,706.0,Comedy|Crime|Music,The Janky Promoters ,1097,1936,English,USA,R,2009,5.2,402
3914,Color,82.0,7.0,584.0,Comedy|Crime,The Jerky Boys ,2129,1002,English,USA,R,1995,4.6,138
4607,Color,96.0,436.0,474.0,Comedy|Drama,The Jimmy Show ,480,920,English,USA,R,2001,5.4,47
3211,Color,96.0,17.0,2000.0,Comedy|Drama,The Joneses ,33473,4607,English,USA,R,2009,6.5,0
983,Color,141.0,71.0,21000.0,Crime|Drama,The Judge ,136973,30183,English,USA,R,2014,7.4,47000
2185,Color,72.0,0.0,3000.0,Adventure|Animation|Family|Musical,The Jungle Book 2 ,11634,4480,English,USA,G,2003,5.4,227
1805,Color,106.0,4000.0,19000.0,Adventure|Drama|Family|Fantasy,The Jungle Book ,106221,32921,English,UK,PG,2016,7.8,65000
1142,Color,118.0,13.0,23000.0,Drama|Thriller,The Juror ,13995,26907,English,USA,R,1996,5.6,353
3351,Color,126.0,80.0,668.0,Action|Drama|Family|Sport,The Karate Kid ,126916,2004,English,USA,PG,1984,7.2,0
4709,Color,83.0,644.0,119.0,Comedy,The Kentucky Fried Movie ,13915,190,English,USA,R,1977,6.5,0
3901,Color,106.0,450.0,14000.0,Comedy|Drama,The Kids Are All Right ,110616,18645,English,USA,R,2010,7.1,16000
667,Color,104.0,226.0,13000.0,Comedy|Family|Fantasy,The Kid ,34473,16452,English,USA,PG,2000,6.1,0
2901,Color,109.0,187.0,818.0,Crime|Drama|Thriller,The Killer Inside Me ,28483,1813,English,USA,R,2010,6.1,0
4771,Color,101.0,0.0,159.0,Crime|Drama,The King of Najayo ,197,206,Spanish,Dominican Republic,R,2012,6.9,126
2607,Color,118.0,0.0,14000.0,Biography|Drama|History|Romance,The King's Speech ,503631,15732,English,UK,R,2010,8.0,64000
570,Color,110.0,532.0,3000.0,Action|Drama|Thriller,The Kingdom ,101386,5187,English,USA,R,2007,7.1,0
2259,Color,128.0,395.0,283.0,Drama,The Kite Runner ,68119,904,Dari,USA,PG-13,2007,7.6,0
4505,Color,110.0,0.0,3.0,Comedy|Drama,The Knife of Don Juan ,27,5,Spanish,USA,Not Rated,2013,7.2,75
3050,Color,84.0,71.0,8000.0,Comedy,The Ladies Man ,10777,10982,English,USA,R,2000,5.1,671
4328, Black and White,92.0,0.0,1000.0,Crime|Drama|Film-Noir|Mystery|Thriller,The Lady from Shanghai ,19236,1055,English,USA,Not Rated,1947,7.7,0
1439,Color,104.0,1000.0,24000.0,Comedy|Crime|Thriller,The Ladykillers ,84131,41701,English,USA,R,2004,6.2,0
1241,Color,99.0,18.0,18000.0,Drama|Fantasy|Romance,The Lake House ,114321,18693,English,USA,PG,2006,6.8,0
2913,Color,69.0,383.0,912.0,Adventure|Animation|Family,The Land Before Time ,61753,1833,English,USA,G,1988,7.3,5000
3414,Color,111.0,2.0,735.0,Drama|Romance|War,The Land Girls ,1591,1378,English,UK,R,1998,6.3,75
140,Color,103.0,0.0,1000.0,Action|Adventure|Family|Fantasy,The Last Airbender ,118951,2857,English,USA,PG,2010,4.2,18000
4598,Color,98.0,8.0,96.0,Comedy|Drama,The Last Big Thing ,334,196,English,USA,R,1996,6.9,43
798,Color,131.0,37.0,968.0,Action|Drama|Thriller,The Last Castle ,57100,3012,English,USA,R,2001,6.9,0
3077,Color,98.0,7.0,805.0,Horror|Sci-Fi|Thriller,The Last Days on Mars ,28570,2271,English,UK,R,2013,5.5,0
3116,Color,109.0,78.0,854.0,Action|Comedy|Drama|Music,The Last Dragon ,9424,3394,English,USA,PG-13,1985,6.9,0
1908,Color,219.0,973.0,1000.0,Biography|Drama|History,The Last Emperor ,70274,2451,English,China,PG-13,1987,7.8,0
3905,Color,93.0,8.0,45000.0,Drama|Horror|Thriller,The Last Exorcism Part II ,13506,46868,English,France,PG-13,2013,4.0,0
4356,Color,87.0,13.0,463.0,Drama|Horror|Thriller,The Last Exorcism ,41509,1958,English,France,PG-13,2010,5.6,0
4308,Color,94.0,98.0,10000.0,Comedy|Drama|Musical|Romance,The Last Five Years ,6223,10869,English,USA,PG-13,2014,5.9,0
2833,Color,100.0,26.0,898.0,Comedy,The Last Godfather ,912,2895,English,South Korea,PG-13,2010,3.6,502
4971,Color,114.0,29.0,956.0,Crime|Horror|Thriller,The Last House on the Left ,67824,3861,English,USA,R,2009,6.6,0
3607,Color,121.0,162.0,1000.0,Biography|Drama|History|Thriller,The Last King of Scotland ,145580,1184,English,UK,R,2006,7.7,0
647,Color,102.0,4.0,14000.0,Action|Adventure|Fantasy|War,The Last Legion ,29285,14625,English,UK,PG-13,2007,5.4,0
158,Color,154.0,380.0,10000.0,Action|Drama|History|War,The Last Samurai ,317166,11945,English,USA,R,2003,7.7,0
1327,Color,93.0,23.0,2000.0,Comedy,The Last Shot ,3789,5240,English,USA,R,2004,5.7,89
